,region
409, Député de l'Orne
410, Députée de l'Eure
411, Députée de Paris
412, Députée de la Loire-Atlantique
413, Député de Maine-et-Loire
414, Députée du Nord
415, Député du Morbihan
416, Député du Pas-de-Calais
417, Député de Meurthe-et-Moselle
418, Député de la Meuse
419, Députée de la Gironde
420, Députée du Val-de-Marne
421, Député de Seine-et-Marne
422, Député de la Côte-d'Or
423, Députée du Val-d'Oise
424, Député des Alpes-Maritimes
425, Députée de Paris
426, Député du Morbihan
427, Député de Loir-et-Cher
428, Député de l'Aude
429, Député de la Nièvre
430, Député du Rhône
431, Député de Paris
432, Députée des Bouches-du-Rhône
433, Députée des Hauts-de-Seine
434, Député représentant les Français établis hors de France
435, Députée du Val-de-Marne
436, Députée du Nord
437, Député de la Seine-Saint-Denis
438, Députée de l'Allier
439, Députée de Seine-et-Marne
440, Député de la Sarthe
441, Députée de Tarn-et-Garonne
442, Députée du Puy-de-Dôme
443, Députée des Yvelines
444, Députée des Bouches-du-Rhône
445, Députée des Ardennes
446, Députée de la Somme
447, Député du Pas-de-Calais
448, Député de la Haute-Garonne
449, Député de Meurthe-et-Moselle
450, Député du Pas-de-Calais
451, Député de La Réunion
452, Députée des Pyrénées-Atlantiques
453, Député de la Gironde
454, Députée des Yvelines
455, Député du Lot
456, Députée des Hauts-de-Seine
457, Député de la Gironde
458, Député de l'Orne
459, Député du Val-d'Oise
460, Député du Nord
461, Député de la Charente-Maritime
462, Député de l'Eure
463, Députée de Tarn-et-Garonne
464, Députée des Bouches-du-Rhône
465, Député de la Seine-Saint-Denis
466, Députée de La Réunion
467, Député du Loiret
468, Député de l'Essonne
469, Député de La Réunion
470, Députée de la Moselle
471, Député de Saône-et-Loire
472, Député de l'Essonne
473, Député du Bas-Rhin
474, Député du Haut-Rhin
475, Député de Paris
476, Députée de l'Hérault
477, Député des Bouches-du-Rhône
478, Députée du Val-d'Oise
479, Députée de la Haute-Savoie
480, Députée du Loiret
481, Députée de l'Essonne
482, Députée de l'Aude
483, Député de la Savoie
484, Députée de l'Essonne
485, Député de la Haute-Savoie
486, Députée des Hauts-de-Seine
487, Député du Morbihan
488, Député des Alpes-Maritimes
489, Député du Nord
490, Députée de la Seine-Saint-Denis
491, Député du Rhône
492, Député de la Somme
493, Député de Paris
494, Député de la Haute-Savoie
495, Députée de la Polynésie Française
496, Député du Val-de-Marne
497, Députée de Maine-et-Loire
498, Députée de la Polynésie Française
499, Députée de la Loire
500, Député de l'Ardèche
501, Député de la Vienne
502, Député du Val-d'Oise
503, Député du Haut-Rhin
504, Député des Hautes-Pyrénées
505, Député du Jura
506, Député de la Guadeloupe
507, Député de la Guyane
508, Député de la Gironde
509, Député des Hauts-de-Seine
510, Député du Doubs
511, Député représentant les Français établis hors de France
512, Député de la Manche
513, Député du Haut-Rhin
514, Député du Bas-Rhin
515, Députée de Seine-Maritime
516, Députée des Alpes-Maritimes
517, Député du Val-d'Oise
518, Députée de l'Eure
519, Député de Paris
520, Députée du Finistère
521, Député de Maine-et-Loire
522, Députée de l'Ariège
523, Député des Bouches-du-Rhône
524, Député du Tarn
525, Député de la Seine-Saint-Denis
526, Député du Bas-Rhin
527, Député de Seine-et-Marne
528, Députée de l'Oise
529, Députée d'Indre-et-Loire
530, Députée du Puy-de-Dôme
531, Députée de la Drôme
532, Députée du Lot
533, Députée de la Sarthe
534, Député du Rhône
535, Député du Calvados
536, Députée de la Haute-Garonne
537, Députée des Alpes-Maritimes
538, Député de la Manche
539, Députée de la Moselle
540, Député de l'Ain
541, Députée de la Charente-Maritime
542, Député de la Vienne
543, Députée de Saône-et-Loire
544, Députée de la Guadeloupe
545, Députée de la Haute-Loire
546, Députée des Alpes-Maritimes
547, Député des Landes
548, Députée de l'Allier
549, Député de l'Oise
550, Député de la Haute-Vienne
551, Député de l'Isère
552, Député du Nord
553, Député du Rhône
554, Députée du Tarn
555, Député de l'Aveyron
556, Député des Yvelines
557, Députée du Puy-de-Dôme
558, Députée de l'Ardèche
559, Députée de Seine-Maritime
560, Député de la Haute-Loire
561, Député d'Eure-et-Loir
562, Député de l'Hérault
563, Députée de la Haute-Garonne
564, Député de l'Essonne
565, Député de l'Yonne
566, Député des Vosges
567, Député du Val-d'Oise
568, Député des Ardennes
569, Député du Bas-Rhin
570, Député de l'Oise
571, Députée du Bas-Rhin
572, Député de Seine-Maritime
573, Députée de la Moselle
574, Député des Bouches-du-Rhône
575, Député du Territoire de Belfort
