,longitude,latitude
185,4.433333,43.8
186,2.733333,50.15
187,-0.6,49.2
188,0,0
189,-0.55,47.466667
190,2.383333,48.616667
191,2.733333,50.15
192,0,0
193,-1.55,47.216667
194,3.9,43.566667
195,2.166667,49.516667
196,-1.55,47.216667
197,2.466667,47.283333
198,3.9,43.566667
199,2.733333,50.15
200,-0.566667,44.833333
201,-1.516667,46.208333
202,3.166667,45.8
203,2.733333,50.15
204,2.25,48.916667
205,4.316667,45.433333
206,0,0
207,0,0
208,-0.883333,48.016667
209,-4.116667,47.866667
210,8.8,41.983333
211,6.233333,48.733333
212,-0.416667,46.283333
213,1.083333,49.433333
214,2.25,48.916667
215,2.15,43.933333
216,6.133333,44.066667
217,0.116667,48.066667
218,1.833333,46.75
219,0,0
220,0.633333,44.2
221,7.566667,48
222,0,0
223,7.75,48.583333
224,4.433333,43.8
225,2.483333,48.766667
226,6.233333,48.733333
227,-0.883333,48.016667
228,0,0
229,6.666667,48.383333
230,4.766667,46.433333
231,2.933333,42.733333
232,0,0
233,5.883333,47.133333
234,-1.516667,46.208333
235,1.1,48.766667
236,3.983333,49.216667
237,5.883333,44.7
238,5.166667,46.283333
239,0,0
240,0,0
241,5.933333,43.116667
242,-1.1,49.116667
243,2.483333,48.766667
244,3.5,46.966667
245,1.1,48.766667
246,6.233333,48.733333
247,2.066667,48.766667
248,2.933333,42.733333
249,0,0
250,0.116667,48.066667
251,0,0
252,5.933333,43.116667
253,0,0
254,2.383333,48.616667
255,0,0
256,-0.5,43.333333
257,0,0
258,2.066667,48.766667
259,-0.566667,44.833333
260,6.033333,49.166667
261,-1.55,47.216667
262,2.25,48.916667
263,-1.616667,46.733333
264,2.483333,48.766667
265,0,0
266,7.75,48.583333
267,7.75,48.583333
268,0,0
269,3.066667,50.583333
270,0.15,46.783333
271,3.9,43.566667
272,3.066667,50.583333
273,3.066667,50.583333
274,1.433333,43.6
275,0,0
276,0,0
277,-2.566667,47.55
278,5.866667,45.266667
279,1.866667,47.783333
280,1.683333,45.133333
281,1.833333,46.75
282,0,0
283,-1.55,47.216667
284,4.316667,45.433333
285,0,0
286,1.083333,49.433333
287,0,0
288,5.866667,45.266667
289,0.116667,48.066667
290,0,0
291,0,0
292,1.083333,49.433333
293,0,0
294,2.466667,47.283333
295,0,0
296,0,0
297,0,0
298,3.383333,49.683333
299,-1.1,49.116667
300,3.983333,49.216667
301,0,0
302,-1.616667,48.083333
303,0.683333,47.383333
304,2.308333,48.95
305,0,0
306,2.308333,48.95
307,1.433333,43.6
308,-0.64616,44.36596
309,0,0
310,0,0
311,0.15,45.45
312,0,0
313,0,0
314,6.233333,45.883333
315,1.466667,43.05
316,3.35,47.866667
317,-4.116667,47.866667
318,-0.5,43.333333
319,-0.5,43.333333
320,-1.616667,46.733333
321,0.633333,44.2
322,-0.566667,44.833333
323,2.166667,49.516667
324,-1.616667,48.083333
325,-4.116667,47.866667
326,0,0
327,-4.116667,47.866667
328,-2.566667,47.55
329,2.066667,48.766667
330,2.2,49.916667
331,-0.6,49.2
332,3.066667,50.583333
333,1.083333,49.433333
334,3.066667,50.583333
335,0,0
336,-4.116667,47.866667
337,2.25,48.916667
338,-1.616667,46.733333
339,5.6,47.566667
340,0,0
341,6.233333,45.883333
342,2.733333,50.15
343,0,0
344,0,0
345,-0.6,49.2
346,5.933333,43.116667
347,5.866667,45.266667
348,6.033333,49.166667
349,3.066667,50.583333
350,-1.616667,46.733333
351,4.816667,43.95
352,0,0
353,0,0
354,0.083333,48.433333
355,0,0
356,-1.616667,48.083333
357,1.233333,45.8
358,3.983333,49.216667
359,0,0
360,0,0
361,-1.616667,48.083333
362,2.25,48.916667
363,0,0
364,2.2,49.916667
365,2.733333,50.15
366,2.25,48.916667
367,0,0
368,2.383333,48.616667
369,0.15,45.45
370,0,0
371,-0.55,47.466667
372,5.933333,43.116667
373,0,0
374,5.933333,43.116667
375,-0.5,43.333333
376,5.933333,43.116667
377,2.85,44.75
378,2.483333,48.766667
379,-4.116667,47.866667
380,0,0
381,3.9,43.566667
382,6.033333,49.166667
383,4.683333,48.25
384,0.15,45.45
385,-0.566667,44.833333
386,1.683333,45.133333
387,5.866667,45.266667
388,0,0
389,5.933333,43.116667
390,7.75,48.583333
391,5.816667,45.533333
392,2.066667,48.766667
393,2.166667,49.516667
394,3.9,43.566667
395,4.316667,45.433333
396,-2.566667,47.55
397,1.433333,43.6
398,2,46.2
399,3.666667,44.533333
400,4.816667,43.95
401,3.066667,50.583333
402,5.866667,45.266667
403,2.166667,49.516667
