,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
BUFFET Marie-George,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BUREAU-BONNARD Carole,0.0,0.0,60456.0,87140.0,64578.0,75386.0,79740.0,11684.0,0.0,0.0,0.0
CABARÉ Pierre,0.0,0.0,0.0,0.0,45550.0,41944.0,40474.0,0.0,0.0,0.0,0.0
CALVEZ Céline,0.0,0.0,50250.0,64900.0,60000.0,75000.0,60000.0,25000.0,0.0,0.0,0.0
CARIOU Émilie,0.0,0.0,46312.0,109356.0,102907.0,88767.0,87312.0,44001.0,0.0,0.0,0.0
CARREZ Gilles,0.0,0.0,50644.0,54479.0,54963.0,54934.0,73618.0,19440.0,9360.0,0.0,0.0
CARVOUNAS Luc,0.0,0.0,26186.0,26979.0,26661.0,25744.0,25147.0,18846.0,0.0,0.0,0.0
CASTELLANI Michel,0.0,0.0,70301.0,68249.0,72201.0,29007.0,18854.0,9686.0,0.0,0.0,0.0
CATTELOT Anne-Laure,0.0,0.0,11200.0,23800.0,26000.0,28000.0,37000.0,16000.0,0.0,0.0,0.0
CATTIN Jacques,0.0,14016.0,13994.0,13945.0,16136.0,35485.0,44005.0,18751.0,0.0,0.0,0.0
CAUSSE Lionel,0.0,55126.0,58634.0,60569.0,56974.0,59582.0,41787.0,36451.0,0.0,0.0,0.0
CAZARIAN Danièle,0.0,0.0,18000.0,18000.0,18000.0,21289.0,21588.0,8408.0,0.0,0.0,0.0
CAZEBONNE Samantha,0.0,0.0,37030.0,38249.0,44486.0,53226.0,53448.0,52143.0,15773.0,0.0,0.0
CAZENEUVE Jean-René,0.0,0.0,340629.0,336769.0,422930.0,485374.0,512889.0,717875.0,0.0,0.0,0.0
CAZENOVE Sébastien,0.0,20327.0,20249.0,20305.0,21002.0,22058.0,22019.0,9816.0,0.0,0.0,0.0
CELLIER Anthony,0.0,20051.0,32338.0,49574.0,49377.0,48286.0,52332.0,37849.0,0.0,0.0,0.0
CESARINI Jean-François,0.0,30000.0,30000.0,40000.0,39500.0,41062.0,52894.0,27847.0,0.0,0.0,0.0
CHALAS Émilie,0.0,39000.0,43282.0,50485.0,62945.0,66313.0,69214.0,29930.0,0.0,0.0,0.0
CHALUMEAU Philippe,0.0,90679.0,104807.0,116049.0,100740.0,95776.0,102921.0,48100.0,0.0,0.0,0.0
CHAPELIER Annie,0.0,0.0,38889.0,43225.0,31073.0,36773.0,41022.0,20788.0,0.0,0.0,0.0
CHARRIÈRE Sylvie,0.0,48959.0,51339.0,59823.0,58839.0,58484.0,62330.0,29695.0,0.0,0.0,0.0
CHARVIER Fannette,0.0,0.0,11470.0,16723.0,19619.0,20347.0,22698.0,12271.0,0.0,0.0,0.0
CHASSAIGNE André,0.0,0.0,65039.0,60040.0,55024.0,57242.0,44721.0,31420.0,0.0,0.0,0.0
CHASSAING Philippe,0.0,0.0,40015.0,40889.0,43693.0,43553.0,43502.0,19150.0,0.0,0.0,0.0
CHENU Sébastien,0.0,0.0,0.0,0.0,0.0,40692.0,66738.0,40788.0,0.0,0.0,0.0
